"Freq (Hz)","F1 (dB)","F2 (dB)","DP (dB)","Noise+2sd (dB)","Noise+1sd (dB)","2F2-F1 (dB)","3F1-2F2 (dB)","3F2-2F1 (dB)","4F1-3F2 (dB)",
4248,66.8,66.3,0.3,-15.2,-17.5,-19.9,-17.9,-18.3,-23.6,
4248,64.8,61.4,0.4,-16.2,-18.4,-20.0,-16.4,-24.5,-18.4,
4248,62.8,56.3,-2.7,-14.2,-16.4,-25.1,-13.7,-21.4,-23.3,
4248,60.8,51.4,-3.4,-14.5,-16.5,-19.4,-15.2,-25.3,-19.6,
4248,58.8,46.3,-3.9,-16.0,-18.7,-14.6,-17.8,-22.8,-20.6,
4248,56.8,41.3,-6.4,-17.8,-20.6,-18.4,-21.8,-20.2,-21.8,
4248,54.8,36.3,-30.0,-14.8,-16.8,-14.2,-26.3,-16.7,-16.8,
4248,52.8,31.3,-28.0,-16.4,-18.7,-31.2,-29.7,-22.6,-32.1,
4248,50.8,26.2,-30.0,-16.1,-18.4,-19.4,-29.1,-18.0,-19.5,
4248,48.8,21.2,-20.1,-13.3,-16.1,-21.3,-20.4,-23.5,-24.4,
