"Freq (Hz)","F1 (dB)","F2 (dB)","DP (dB)","Noise+2sd (dB)","Noise+1sd (dB)","2F2-F1 (dB)","3F1-2F2 (dB)","3F2-2F1 (dB)","4F1-3F2 (dB)",
4248,67.8,67.9,4.6,-18.1,-20.3,-10.3,1.0,-18.7,-23.4,
4248,65.8,63.0,4.0,-12.8,-15.7,-19.3,1.3,-16.7,-16.8,
4248,63.7,57.9,2.8,-15.9,-18.5,-21.8,-1.1,-20.8,-18.7,
4248,61.8,53.0,1.3,-15.2,-17.7,-17.8,-1.2,-18.0,-17.1,
4248,59.8,48.0,0.6,-12.6,-15.2,-15.7,-5.7,-18.5,-28.2,
4248,57.8,43.0,-3.9,-14.9,-17.6,-24.0,-8.9,-19.8,-11.2,
4248,55.9,38.1,-8.7,-13.6,-15.5,-18.0,-11.9,-22.4,-24.0,
4248,53.9,33.1,-30.0,-13.0,-15.4,-28.6,-26.4,-19.1,-14.7,
4248,51.8,28.0,-30.0,-12.8,-15.7,-15.3,-19.6,-24.9,-18.5,
4248,49.9,23.2,-16.5,-13.4,-16.3,-26.2,-16.8,-28.6,-13.9,
